,HadGEM3-GC31-HH_control,HadGEM3-GC31-HH_historical,EC-Earth3P-HR_control,EC-Earth3P-HR_historical,CNRM-CM6-1-HR_control,CNRM-CM6-1-HR_historical,CMCC-CM2-VHR4_control,CMCC-CM2-VHR4_historical,MPI-ESM1-2-HR_control,MPI-ESM1-2-HR_historical,MPI-ESM1-2-XR_control,MPI-ESM1-2-XR_historical,eORCA025_ERA5,eORCA025_JRA55,EN4,ORAS5
1976-01-31,,,,,,,,,,,,,,,,
1976-02-29,,,,,,,,,,,,,,,,
1976-03-31,-1.5820268268017956,-0.004967605216111716,0.6462434319290492,-0.8684806942968324,0.25374132680144973,0.3378942353556154,0.5577079680278517,-0.6142664496157789,1.0577797798064548,2.570041147791763,-0.13179478187715765,-1.1688498091443114,-0.6983848611513773,-0.8273091117540995,-0.48292531656024223,-1.474532587696012
1976-04-30,-1.3245492604073217,-0.17457910276188982,0.6064293940557585,-1.0430748365291254,0.29446366723865364,0.09121691747692044,0.7583342568662061,-0.7302529429565726,1.0513915368076205,2.272154825150055,-0.2723492622269074,-1.0218627667589384,-0.7891992529233297,-0.8096263607343038,-0.46576957499970817,-1.1928885933205446
1976-05-31,-0.9101292896946792,-0.38262552323226545,0.5772450503581833,-1.002190288432193,0.2628407739100226,-0.1736198044526364,0.9300351672670996,-0.8403741841998505,1.3350252458015648,2.122765373188608,-0.29221568064850917,-0.9656742219804243,-0.6525002419948578,-0.6292494336764017,-0.5084523471373675,-0.8390566430938852
1976-06-30,-0.6826944029310579,-0.5049320826171086,0.5119665738977536,-0.7876949746298892,0.08956682394560976,-0.17957095521313157,1.3247424281014226,-1.1778191352506402,1.6477601540877824,2.225182641816899,-0.2993873495351063,-1.0160456260751387,-0.31576818227767944,-0.34619129821658134,-0.35504152198289707,-0.4896068997808108
1976-07-31,-0.4894021840874229,-0.47024951694815015,0.3011475111313942,-0.6330067448499438,0.08329419355168054,-0.2309353730159216,1.6995443542317943,-1.3270660249659334,1.4633035414087254,2.244853545990074,-0.22140666151070598,-1.1983020493141867,0.011275127530097961,-0.10630581652124722,-0.1770332614974172,-0.11268836684187811
1976-08-31,-0.25031212612275766,-0.43141123356819494,0.03361369229901642,-0.4853608945939943,0.24125206326011228,-0.2840724759618704,2.053873678775123,-1.4067419019897704,0.8020138706182088,1.8917474321466277,-0.2483911955375909,-1.2817174423334203,0.29890619218349457,0.10165650770068169,0.07925397211466412,0.12817186579778403
1976-09-30,-0.04576192144158157,-0.43215632148670463,-0.18598185332760808,-0.34753699763906387,0.27170454463522353,-0.4976792010677855,2.1412624265712417,-1.3319191459001853,0.08021387078416296,1.3068065383125462,-0.1468301193617266,-1.1520228352085429,0.4936400006214778,0.2003831242521604,0.20491369571182216,0.2883531173808026
1976-10-31,0.06037351840961025,-0.47445789957404055,-0.361615841368659,-0.2690786193827724,0.26095964966779933,-0.6243560358663117,2.1728746945512265,-1.298152924792675,-0.2798184516977726,0.787831810776828,-0.002521428868399178,-1.0331144358884057,0.7334758440653483,0.3415259967247645,0.42882078708087507,0.40630535416159086
1976-11-30,0.19086721636389614,-0.5933303815296588,-0.485292736622263,-0.3173225215274078,0.1447599717580116,-0.7656029893649187,2.1700369867541403,-1.3099991834065488,-0.1867458102702728,0.5130575885830368,0.38952538328260866,-0.9905740038747096,0.9116243720054626,0.4106163928906123,0.637605850349606,0.4492591193382232
1976-12-31,0.36180428570516643,-0.7147130333128597,-0.6021394190234871,-0.3985239050779168,0.1301613075059612,-0.8366369249777476,2.094985252778572,-1.220413018987804,-0.024634865913906123,0.4127106276473946,0.6655635192232813,-1.0786708743749862,0.9616670608520508,0.42265642682711285,0.7656891666931118,0.4476532259187296
1977-01-31,0.551418215204614,-0.8143796274112168,-0.5877860617366231,-0.4173745463041396,0.10470965194195664,-0.8610808871385945,2.0503153159347165,-1.1177253018878222,0.1556348480038496,0.38437133292864334,0.7687454376887971,-1.3262461521118494,0.8233258326848348,0.29893925289313,0.8498670925452719,0.4243460356751621
1977-02-28,0.5598208472489664,-0.8420856001220637,-0.45991145499041636,-0.271508436859482,0.029388607831731733,-0.6937906782093455,1.8345869146786813,-0.9043119079780753,-0.03817947418978666,0.26614358745499306,0.7889384048674172,-1.5007161981640653,0.6025535066922506,0.2636173913876216,0.7393469602255385,0.37865089215026765
1977-03-31,0.5943931274680008,-0.6250057499514944,-0.2743617919526586,-0.06149725871387813,-0.11242896853496374,-0.4563960228603119,1.6013056998580906,-0.39976102651993556,-0.4820300048912573,0.11699491682508645,0.7758053406787009,-1.428596423136792,0.3431666245063146,0.2466313044230143,0.6340171523155458,0.19563152506598883
1977-04-30,0.6965587574367292,-0.4404269074737033,-0.19411526801216658,0.08714704123693721,-0.22088923564925209,-0.27505078095881275,1.3694509149545244,0.10574590913835173,-0.9385449124879225,0.17984273381452595,0.7341965981524377,-0.8971355265697291,0.05687360465526581,0.18807393064101538,0.5326154131804098,-0.09550147669052587
1977-05-31,0.8325452790417716,-0.10637934334198484,-0.18700838928063568,0.2238316596788621,-0.18330561803389908,-0.12899191333372292,1.3077822487069912,0.606690089496901,-1.0105195711239643,0.4383805657498896,0.6600917910189329,-0.24479937903298307,-0.11319366842508316,0.12447455773750941,0.5681154470192129,-0.22283737726922884
1977-06-30,0.9408751863083289,0.05880844544820696,-0.1752420046154511,0.34267815915023525,-0.14551872188053044,0.10296373684624083,1.0913273970921429,0.9805418113175027,-0.9705436931762672,0.42354054870390656,0.7817147745828926,0.08662646448602163,-0.12617087488373122,0.18800388524929681,0.6904684524508601,-0.17236562145295306
1977-07-31,1.1255370599546055,0.33744717471800895,-0.07179995385214226,0.5415663973533568,-0.05456654984555485,0.29746195081209653,0.5681275086509338,1.3025866482324922,-1.073108731232801,-0.04852810091340376,1.0381709600419273,0.12105743312343074,-0.06830063586433728,0.21312218656142554,0.7549602753054833,0.004890723442512114
1977-08-31,1.395160515434925,0.47589275440171114,0.07607851437890743,0.6120768615477439,-0.06618960050079988,0.4210298641372308,-0.20407847970027315,1.6124788032560324,-1.2561197941013884,-0.4573575831600154,1.2294338943795466,0.041970688205823725,-0.12464723860224088,0.06365985920031865,0.718805462014612,-0.016948202963522185
1977-09-30,1.622732054282978,0.6241139514029803,0.2563866529647361,0.6902754878501837,0.009316977883451377,0.3388408052315685,-0.8502397015177726,1.7253429782170935,-1.342981427377259,-0.5289600697154099,1.1820241182776494,-0.01641438285897261,-0.15873228510220846,-0.13002613931894302,0.6724866836247511,0.012433116049088913
1977-10-31,1.8694892695040515,0.6974805955081943,0.445039409646059,0.726627427369427,-0.0010924693910423662,0.19010481182202166,-1.1661152670221764,1.8526319716739197,-1.2779148692416247,-0.18995154072043238,1.0142591695634955,-0.011442197000464581,-0.0718343158562978,-0.17034437755743662,0.6399585823210286,0.04322754672519563
1977-11-30,2.0507851214928263,0.787712292051816,0.5991238452506981,0.9676229833043775,0.12892082654859188,0.15262301524126373,-1.3577264475075486,1.9276955682984804,-1.3464700884656613,0.09000790982314948,0.8141299933190282,-0.04615422709129565,0.16508212685585022,-0.0029539018869400024,0.6839657855008684,0.2725178991794836
1977-12-31,2.276209664075887,0.8624086470763537,0.6212025757691336,1.2932655880862503,0.19597064182521495,0.2811876929104174,-1.5585571445437603,1.893015594003554,-1.5031674704926121,0.35772823740393794,0.6874988337664467,0.043331103183361745,0.4091132581233978,0.13631410896778107,0.8902174738828074,0.3728194615985787
1978-01-31,2.3898157408197878,0.914752137963744,0.6606445689476096,1.628836102849666,0.2194186179262024,0.5357459639063551,-1.9718624867829295,1.853892971157885,-1.6064254555362243,0.28115969673230395,0.6280996193036567,0.14585038575733056,0.6098610858122507,0.35962194204330444,1.043573319873836,0.4915409127239376
1978-02-28,2.2745598883758107,0.9342922533277132,0.6497117237127991,1.713569166580342,0.04165781314290351,0.6922961640861821,-2.398191353322232,1.7522573204322998,-1.6160129619766364,0.17555616104648888,0.6769926821443972,0.24099899753252343,0.6114217142264048,0.44141369064648944,1.0484700374074265,0.48511829633226067
1978-03-31,1.8523722604811559,0.9248317248763765,0.720911664839563,1.5633107785799771,-0.0800603202307197,0.9105782747083359,-2.6339697437890255,1.5729324184209663,-1.598195257497533,-0.005994868950893853,0.656095864124251,0.14742787878668737,0.47050433854262036,0.4231176972389221,0.8229176104526266,0.39369795432594623
1978-04-30,1.3676964715379312,0.773171595003542,0.7106418420926047,1.1892216767136787,-0.07608730178755403,1.0232496119333356,-2.5731938950281115,1.207285021404232,-1.509040943965167,-0.00833590360933164,0.47687495374492167,-0.055910764921188794,0.12276813884576161,0.14397725462913513,0.5136182901838148,0.1170630363328729
1978-05-31,0.9326522019684962,0.5299715863518677,0.6601882587902994,0.7999359730467454,-0.11864044562832543,0.98589456378526,-2.4833003988095204,0.7518429395226579,-1.4693339378957535,0.15660858657592222,0.4713724582068717,-0.3150517501696887,-0.20387855668862662,-0.21086586515108743,0.22931201604152854,-0.24529237624983158
1978-06-30,0.6130916317416709,0.2798826432197365,0.6137115866549957,0.4037264561768928,-0.1777995021513535,0.6181818428138947,-2.500051505691175,0.2507839992970055,-1.3908648920448137,0.1883245333899666,0.6748238743988074,-0.3468237464502635,-0.46717307964960736,-0.49589110414187115,-0.14286755371750168,-0.5279321795156037
1978-07-31,0.31383573598489456,0.1117553591025716,0.4941919165080593,0.2201454752942471,-0.3051197106625938,0.29264832803777696,-2.4797239125575294,-0.11367340244148273,-1.162501630137691,-0.14072198407145653,0.921636039193153,-0.4027768827682719,-0.5066747268040975,-0.6768386960029602,-0.22979401525099905,-0.5255958360548926
1978-08-31,-0.0590430358332051,-0.00869832571849762,0.3405703878609753,0.06739862684214082,-0.30893431767779517,-0.003026513915885385,-2.336255876419106,-0.3353733895734636,-0.7801084673478953,-0.769005099392441,0.6841825162607041,-0.3497245553496608,-0.5065182447433472,-0.8447343707084656,-0.21169537184094264,-0.4374589083165885
1978-09-30,-0.36501755615492343,-0.20910343313605004,0.19888428935509653,0.022510255349577426,-0.21722472346318059,-0.09147129988428665,-2.1954052581828605,-0.42716107566154954,-0.4003627401839176,-1.2321497260389502,0.41275452660738904,-0.3300177970937694,-0.4934688210487366,-1.0063695510228474,-0.06814926515273854,-0.4389837622160846
